,0,1,2,3,4,5
10,UVEK / DETEC; Kochergasse 10; Sitzungszimmer / salle de réunion 121 Bern,Do 17.04.2008 10:30,Informationsgespräch,Presse- und Informationsdienst UVEK; Service de presse et d'information DETEC; Tel. 031 322 55 11,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1192.html
11,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 25.04.2008 09:00,Medienkonferenz,Fredi Krebs; Editions le Doubs; Route de la croix 15; CH 2882 St-Ursanne; 0041 (0)32 461 39 30,NR Andreas Gross,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1193.html
12,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences; Centro media di Palazzo federale, sala delle conferenze Bern",Do 24.04.2008 10:15 - 12:00,"Mit: Bundesrätin Eveline Widmer-Schlumpf, Vorsteherin des Eidg. Justiz- und Polizeidepartements; Regierungsrätin Heidi Z'graggen, Vorsteherin der Justizdirektion des Kantons Uri; Eduard Gnesa, Direktor des Bundesamtes für Migration, Eidg. Justiz- und Polizeidepartement; Heinz Walser, Leiter des Amtes für Bürgerrecht und Zivilstand des Kantons St. Gallen",Informationsdienst EJPD / Service d'information DFJP / Servizio d'informazione DFGP; +41 (0)31 322 18 18,Eidgenössisches Justiz- und Polizeidepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1194.html
13,Vatter Business Center; Bärenplatz 2 3011 Bern,Do 24.04.2008 13:30,"Medienkonferenz; Referenten: NR Andrea Geissbühler; NR Claude Ruez; Paul Stettler, Drogentherapieleiter","Sabina Geissbühler-Strupler, Präsidentin Schweiz. Vereinigung Eltern gegen Drogen; Halen 18; 3037 Herrenschwanden; 031 302 32 92",Schweizerische Vereinigung Eltern gegen Drogen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1197.html
14,Kornhausbibliothek Bern; Kornhausplatz 18 3011 Bern,Di 22.04.2008 11:00,Medieninformation,Peter Wille; peter.wille@bibliomedia.ch; Tel: 032 624 90 24; Mobil: 078 841 40 85,Bundesamt für Kultur (BAK) / Stiftung Bibliomedia Schweiz / Schweizerische Institut für Kinder- und Jugendmedien SIKJM,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1198.html
15,"Vatter Business Center, , Bärenplatz, Bern; Vatter, Seminarraum, , Bärenplatz, Berne Bern",Di 22.04.2008 11:15,"Point de Presse; Teilnehmende: Christian Levrat, Nationalrat (FR), SP-Präsident, Margret Kiener Nellen, Nationalrätin (BE), Alain Berset, Ständerat (FR); Für die FotojournalistInnen gibt es vorgängig einen Fototermin um 11.00 Uhr vor der UBS am Bärenplatz (gleich neben dem Restaurant Vatter)",Claudine Godat; Porte-parole PS Suisse / Mediensprecherin SP Schweiz; T 031 329 69 82 / M 079 789 04 89,SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1202.html
16,Konzert- und Kultur-Casino Bern; Herrengasse 25 3011 Bern,Di 13.05.2008 09:15 - 10:30,Medienkonferenz,David Stickelberger; E-Mail: Stickelberger@swissolar.ch,Swissolar,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1204.html
17,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 06.05.2008 13:30,Medienkonferenz,Peter Lauener; SP Schweiz / PS Suisse; Leiter Kampagnen&Kommunikation / Chef campagne&communication; Tel direkt: 031 329 69 92; Tel Zentrale: 031 329 69 69,SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1209.html
18,Palais fédéral Ouest / Bundeshaus West; Salon du Président Bern,Mo 28.04.2008 19:00,Fototermin,"Jean-Marc Crevoisier, chef de l’information DFI, +41 31 322 80 16; Linda Shepard, chargée d'information DFAE, +41 31 322 31 66, +41 79 544 48 16",Eidgenössisches Departement für auswärtige Angelegenheiten (EDA) / Eidgenössisches Departement des Innern (EDI),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1210.html
19,Landsitz Lohn / Résidence du Lohn 3122 Kehrsatz,Di 29.04.2008,"Für Akkreditierungen und organisatorische Fragen / Accréditations et questions organisationnelles :; Sabrina Artese, tél. +41 31 322 31 53 ou e-mail : info@eda.admin.ch; Für weitere Auskünfte / Pour de plus amples renseignements : Jean-Marc Crevoisier, Informationschef EDI, +41 31 322 80 16; Lars Knuchel, stv. Informationschef EDA, +41 31 322 30 21 oder +41 79 277 55 60",Eidgenössisches Departement für auswärtige Angelegenheiten,Links   Medienprogramm,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1211.html
20,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 09.05.2008 13:15,08.027 n; Militärgesetz und Bundesgesetz über die militärischen Informationssysteme. Änderung der Militärgesetzgebung; 07.498 n; Pa.Iv. Galladé. Armeewaffen gehören ins Zeughaus*; *) wegen den Von-Wattenwyl-Gesprächen sind kurzfristige Verschiebungen möglich.,"Mark Stucki, Leiter Information und Kommunikation Parlamentsdienste; 031 322 97 27",SiK-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1215.html
21,"Medienzentrum Bundeshaus, kleiner Konferenzraum; Centre de presse du Palais fédéral, petite salle de conférences Bern",Do 08.05.2008 11:30,"Expertenbriefing; Redner: Prof. Dr. Albert A. Stahel, Strategische Studien, Universität Zürich; Colin King, C King Associates, London. Autor der Studie über die Zuverlässigkeit der M85 im Libanonkrieg; Paul Vermeulen, Direktor Handicap International, Sektion Schweiz","Ueli Anken; Kommunikationsleiter Handicap International, Schweiz; Responsable Communication, Handicap International, Suisse; 079 638 10 78",Überparteiliches Komitee für das Verbot von Streubomben - Parlamentarische Initiative Dupraz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1217.html
22,Bundeshaus / Palais fédéral Bern,Do 12.06.2008 06:15 - 07:00,Parlamentarierlauf rund um das Bundeshaus,Béatrice Wertli; Leiterin Kommunikation BASPO / resp. de la communication OFSPO; beatrice.wertli@baspo.admin.ch; 032 327 65 68,Parlamentarische Gruppe Sport und Bundesamt für Sport BASPO,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1219.html
23,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 06.05.2008 11:00,Medienkonferenz,Christian Weber; Pressechef FDP Schweiz / Chef de presse PRD Suisse; 031 320 35 35,Liberales Komitee -  Nein zur Einbürgeruns-Initiative,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1221.html
24,Vatter Business Center; Bärenplatz 2 3011 Bern,Fr 16.05.2008 10:30,"10:30 Uhr Mediengespräch, Vatter Business Center; 11:00 Uhr Übergabe der Petition, Bundeshaus West","Andreas Tschöpe, SKS; Monbijoustr. 61; 3007 Bern; 031 370 24 26",Stiftung für Konsumentenschutz (SKS),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1222.html
25,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 15.05.2008 10:00 - 11:00,Medienkonferenz,Rita Baldegger; Leiterin Kommunikation SECO / Cheffe de la communication SECO; 031 323 37 90,Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1223.html
26,Businesscenter Vatter; Bärenplatz 2 3011 Bern,Do 15.05.2008 09:00 - 09:45,Medienkonferenz,"Dominik Feusi, Medienstelle «hörenschweiz»; 079 359 88 23",hörenschweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1224.html
27,Medienzentrum Bundeshaus; Centre de presse du Palais fédéral Bern,Fr 16.05.2008 10:00,Medienkonferenz,Marianne Binder; Kommunikationschefin CVP Schweiz / Responsable de la communication PDC Suisse; 031 357 33 33,CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1225.html
28,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 20.05.2008 09:30 - 10:15,Medienkonferenz,"Hubert Zurkinden, Grüne/Les Verts; 031 312 66 60",Grüne Schweiz/Les Verts,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1226.html
29,Vatter Business Center; Bärenplatz 2 3011 Bern,Di 20.05.2008 13:30,Medienkonferenz,Therese Schmid; Travail.Suisse; Hopfenweg 21; Postfach 5775; 3001 Bern; Tel. 031 370 21 11,Travail.Suisse / Katholischer Frauenbund / Evangelischer Frauenbund / Männer.ch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1230.html
30,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 01.07.2008 14:00,Medienkonferenz,Sibylle Stillhart; Kommunikation PostReg; Monbijoustr. 51A; CH - 3003 Bern; Tel. 0041 31 325 79 80,Eidgenössische Postkommission PostCom,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1233.html
31,Hotel Bern; Zeughausgasse 9 3011 Bern,Mi 28.05.2008 15:00,Medienkonferenz,Lorenz Kummer; Medienverantwortlicher Swissaid; 031 350 53 51,Swissaid,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1234.html
32,"Medienzentrum Bundeshaus, kleiner Konferenzraum; Centre de presse du Palais fédéral, petite salle de conférences Bern",Fr 23.05.2008 10:00 - 11:00,"Point de presse; Nicht nur die demographische Entwicklung der nächsten Jahre, sondern auch die Flexibilisierung der Arbeitswelt stellt die Sozialversicherungen vor grosse Herausforderungen. Als Antwort auf diese Herausforderung wird auf internationaler Ebene das Konzept der sogenannten ""Flexicurity"" diskutiert. Dieses Konzept soll flexible Arbeitsverhältnisse mit sinnvoll gestalteter sozialer Sicherheit kombinieren, ohne die Wettbewerbsfähigkeit der Volkswirtschaft und das finanzielle Gleichgewicht des Systems zu gefährden. Das BSV hat untersucht, wie die Schweiz in dieser Hinsicht dasteht und welcher Handlungsbedarf sich daraus ergibt. Das BSV wird die Studie ""Flexicurity: Bedeutung für dieSchweiz"" am 23. Mai publizieren. Um Ihnen die Berichterstattung darüber zu erleichtern, stehen Ihnen die Verfasser der Studie und Vertreter von BSV und SECO am Point de Presse für die Interpretation und die Beantwortung von Fragen zur Verfügung. Anwesende: Michael Marti, Ecoplan; Peter Böhringer, Zentrum für Arbeits- und Sozialversicherungsrecht an der Zürcher Hochschule für Angewandte Wissenschaften; Yves Rossier, Direktor BSV; Werner Aeberhardt, Ressortleiter SECO; Olivier Brunner-Patthey, Projektleiter BSV",Rolf Camenzind; Leiter Kommunikation BSV / chef Communication OFAS; 031 322 91 95,Bundesamt für Sozialversicherungen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1236.html
33,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 15.05.2008 14:00,Medienkonferenz,"﻿Therese Weber, 079 433 14 78; Daniel Heller, 044 266 67 67; Werner Widmer, 044 397 30 04; Christian Weber, Pressechef FDP, 031 320 35 35; Stefan Brupbacher, Generalsekretär FDP, 031 320 35 35","Überparteiliches Komitee ""für mehr Qualität in der Gesundheitsversorgung - Gesundheitsartikel JA am 1. Juni""",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1237.html
34,"Bernerhof, Leuchtersaal Bern",Do 15.05.2008 11:00,"Medienkonferenz; Nach einem Arbeitstreffen werden Bundesrätin Leuthard und Minister Mpahlwa die Medien über ihre Gespräche und die Lancierung des Schweizerisch-Südafrikanischen ""Gemischten Wirtschaftskomitees"" informieren.",Evelyn Kobelt; Informationsbeauftragte des EVD / Chargée de la communication; 031 322 20 59,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1238.html
35,von Wattenwyl-Haus; Maison de Watteville; Junkerngasse 59 3011 Bern,Do 22.05.2008 12:15,Point de presse,Kommunikation EFD / Communication DFF; 031 322 60 33,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1241.html
36,Waisenhausplatz (unterer Teil / partie basse) 3011 Bern,Di 20.05.2008 12:15 - 13:00,Aktion zum Verfassungsartikel (Abstimmung vom 1. Juni),Gesundheitsdirektorenkonferenz GDK; Conférence des directeurs sanitaires CDS; Semya Ayoubi; 031 356 20 20,Schweizerische Konferenz der kantonalen Gesundheitsdirektorinnen und -direktoren (GDK),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1242.html
37,Wildhainweg 21 3012 Bern,Do 26.06.2008 10:00 - 11:00,Medienkonferenz,Schweizerischer Nationalfonds; Presse- und Informationsdienst; Kathrin Sterchi; Wildhainweg 3; 3001 Bern; ; Tel. +41 (31) 308 23 87,Schweizerischer Nationalfonds (SNF),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1243.html
38,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 02.06.2008 13:45,Medienkonferenz,Alain Hauert; SVP Generalsekretariat; 031 300 58 58,SVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1246.html
39,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 26.05.2008 10:30,Medienkonferenz,Alexandra Perina-Werz; Fraktionssekretärin CVP-EVP-glp / Secrétaire du Groupe PDC-PEV-pvl; 031 322 99 56,CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1247.html
40,Forschungsanstalt /Station de recherche; Agroscope Liebefeld-Posieux; Schwarzenburgstrasse 161 3097 Bern-Liebefeld,Di 27.05.2008 10:00 - 11:30,Medienkonferenz,"Station de recherche Agroscope Liebefeld-Posieux ALP; Donatella Del Vecchio, Communication; Route de la Tioleyre 4; 1725 Posieux; donatella.delvecchio@alp.admin.ch; Tél: 026 407 54 76; Fax: 026 407 73 00",Forschungsanstalt Agroscope Liebefeld-Posieux ALP,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1250.html
41,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 10.06.2008 11:00,Medienkonferenz,Gabriela Bader; Plattform zu den Sans-Papiers / Plateforme pour les Sans papiers; Waisenhausplatz 21; 3011 Bern; 031 312 66 72,Plattform zu den Sans-Papiers,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1251.html
42,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 24.06.2008 10:00 - 12:00,Medienseminar,Renate Heer; Leiterin Kommunikation EAV; 031 309 12 64,Eidg. Alkoholverwaltung (bis 12.2017),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1252.html
43,Hotel Bern; Zeughausgasse 9 3011 Bern,Do 22.05.2008 09:30,Medienkonferenz,"Bruno Schmucki, Mediensprecher Unia / porte-parole d'Unia; 079 647 01 03)",Unia,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1262.html
44,Medienzentrum; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférences Bern,Fr 23.05.2008 11:15,Thème : destruction de documents concernant des informations sensibles,"Owald Sigg, porte-parole du Conseil fédéral; 031 322 37 03",Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1263.html
45,"Schweizerischer Nationalfonds, Wildhainweg 21 3012 Bern",Mi 28.05.2008 10:00 - 16:00,Vorstellung von sechs vom SECO in Auftrag gegebenen Studien und Erfahrungsberichten im RAV-Benchmarking.,Staatssekretariat für Wirtschaft,"Attachments   Programm SECO-Tagung «Benchmarking öffentlicher Dienstleistungen» (PDF, 370 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1264.html
46,Luxemburg,Fr 23.05.2008,Auf Einladung von Luxemburg trifft Bundesrat Hans-Rudolf Merz am 23. Mai 2008 Premierminister Jean-Claude Juncker sowie Finanz- und Justizminister Luc Frieden zu einem Arbeitsbesuch. Im Rahmen der regelmässigen Treffen dient der Besuch der Pflege der ausgezeich-neten Beziehungen der beiden Staaten. Zur Sprache kommen werden neben einem generellen Überblick über aktuelle Finanzplatzthemen unter anderem auch die Steu-erreformen von Luxemburg und der Schweiz sowie der Austausch der Erfahrungen mit dem Steuerrückbehalt auf den Zinserträgen von Konten ausländischer EU-Bürgerinnen und EU-Bürger. Ein weiteres Diskussionsthema sind die Arbeiten der OECD im Steuerbereich.,Tanja Kocher; Leiterin Kommunikation EFD / Responsable de la communication DFF; 031 322 63 01,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1265.html
47,Schlachthaus Theater; Rathausgasse 20 3011 Bern,Mo 26.05.2008 17:00,"Programm: Einleitung durch Ruth-Gaby Vermot, alt-National- und Europarätin, Co-Präsidentin der Kampagne ""Euro 08 gegen Frauenhandel""; Redebeiträge von:; Doro Winkler, FIZ - Fachstelle gegen Frauenhandel, Co-Präsidentin der ""Kampagne Euro 08 gegen Frauenhandel""; Andreas Schär, Projektorganisation Öffentliche Hand UEFA EURO 2008; Dani Wyler, Fussballkommentator SF DRS; Mundart-Geschichten zum Thema vom Berner Autor Pedro Lenz; Präsentation des Spots (deutsch und französisch)","Yvonne Zimmermann, Kampagnenleiterin, Tel. 079 598 80 51",Kampagne Euro 08 gegen Frauenhandel,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1268.html
48,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Mo 23.06.2008 10:00 - 11:00,Medienkonferenz,"Therese Schmid, Travail.Suisse; 031 370 21 11",Travail.Suisse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1269.html
49,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Fr 20.06.2008 10:00 - 11:00,Medienkonferenz,Min Li Marti; vpod Zentralsekretariat / Secrétariat central ssp; 044 266 52 29,vpod / SGB,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1270.html
50,Hotel Bern; Zeughausgasse 9 3011 Bern,Do 19.06.2008 13:30,Medienkonferenz,"Noëlle Petitdemange, Porte-parole ATE; 058 611 62 52",VCS Verkehrs-Club der Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1271.html
51,Messe Basel; Messeplatz Basel,Mo 02.06.2008 13:30,"Andreas Münch; Sektion Kunst und Design BAK / Section Art et design, OFC / Sezione arte e design dell'UFC; 031 322 92 89, andreas.muench@bak.admin.ch",Bundesamt für Kultur,"Attachments   Einladung an die Medien (PDF, 540 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1273.html
52,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Fr 27.06.2008 14:00 - 15:00,Medienkonferenz,Felix Endrich; Informationschef Verteidigung /Armeesprecher; Tel: ++41 31 323 21 15,Gruppe Verteidigung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1274.html
53,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 10.06.2008 14:00,Medienkonferenz,"Patrick Angele, Sekretär GSoA, Mobile: 076 436 22 25",SPS / Bündnis gegen neue Kampfflugzeuge,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1275.html
54,Hotel Bern; Zeughausgasse 9 3011 Bern,Di 03.06.2008 10:00,Medienkonferenz,Hans Hartmann; Unia Zentralsekretariat; Co-Leiter Abteilung Kommunikation und Kampagnen; Weltpoststrasse 20; 3000 Bern 15; Telefon +41 31 350 23 72; Mobile +41 79 431 60 29,Unia,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1276.html
55,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Mo 02.06.2008 10:30,Medienkonferenz,"Pierre-Yves Gentil, PS Suisse; 031 329 69 86",SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1277.html
56,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Do 26.06.2008 10:00 - 11:30,"Medienkonferenz; Referentinnen und Referenten: Bundesrätin Eveline Widmer-Schlumpf, Vorsteherin EJPD; Felix Addor, stv. Direktor IGE und Vizepräsident STOP PIRACY; Serge Gumy, Chef Abteilung Zollveranlagung Oberzolldirektion","Felix Addor, stv. Direktor IGE und Vizepräsident STOP PIRACY; Direktwahl +41 (0)31 377 72 01",Eidgenössisches Institut für Geistiges Eigentum,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1278.html
57,Technopark Zürich,Fr 05.09.2008 16:30 - 19:15,"""swisselectric research"" prämiert Persönlichkeiten für ihre herausragende und wissenschaftliche Arbeit in der Elektrizitätsforschung.","Geschäftsstelle ""swisselectric research""; 031 380 10 64",swisselectric research,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1279.html
58,Landgut Lohn / Résidence du Lohn / Tenuta Lohn 3122 Kehrsatz,Sa 07.06.2008 12:30,Linda Shepard; Informationsbeauftragte / Chargée d'information; Information EDA / DFAE; +41 79 544 48 16,Bundeskanzlei,"Attachments   Medienprogramm (PDF, 26 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1280.html
59,Museum für Gestaltung Zürich; Vortragssaal / Salle de conférence / Sala conferenze Zürich,Sa 07.06.2008 11:00,Anna Imfeld; Kommunikation BAK / Communication OFD / Comunicazione UFC; Tel 031 322 92 34 / 079 664 73 66,Bundesamt für Kultur,"Attachments   Einladung an die Medien (PDF, 69 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1281.html
60,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de presse du Palais fédéral, salle de conférences Bern",Di 09.09.2008 10:30,Medienkonferenz,"Dr. Ernst Hauri, Vizedirektor BWO; 032 654 91 82",Bundesamt für Wohnungswesen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1283.html
