,0,1
22,Grand Tour der Schweiz: Von Zürich ins Berner Oberland,
23,Grand Tour der Schweiz: Vom Jura bis ins Wallis,
24,Vor 50 Jahren wurde das Schweizer Fernsehen farbig,/radio-srf-1/radio-srf-1/lang-ist-s-her-vor-50-jahren-wurde-das-schweizer-fernsehen-farbig
25,Es werde Farbe! – 50 Jahre Farbfernsehen,/tv/allgemein/es-werde-farbe-50-jahre-farbfernsehen
26,Von diesem Georgier kriege ich den Flattermann,/radio-srf-1/die-buchkoenig-bloggt/die-buchkoenig-bloggt-von-diesem-georgier-kriege-ich-den-flattermann
27,Wegen «Marlène» bleibt Philippe Djian Kult für mich!,/radio-srf-1/die-buchkoenig-bloggt/die-buchkoenig-bloggt-wegen-marlene-bleibt-philippe-djian-kult-fuer-mich
28,"Wettbewerb ""Die ideale Sekretärin"" (1969)",
29,Touristen reisen durch die Schweiz in zwei Tagen (1970),
30,Feriensportlager in Fiesch (1987),
31,Wie sieht Ihr Service public aus?,/allgemeines/service-public-wie-sieht-ihr-service-public-aus
32,Lugano trotzt dem FC Basel einen Punkt ab,https://www.srf.ch/play/tv/-/video/-?id=7d8bad26-ac54-4bf6-b6e7-e0bb4bdaaa39
33,Die höchste Dreiseilbahn der Welt ist eröffnet,https://www.srf.ch/play/tv/-/video/-?id=6fe51a4d-aea7-4750-8826-7fd9ec8f490a
34,Donald Trump macht eine Liebeserklärung,https://www.srf.ch/play/tv/-/video/-?id=001013c7-9f27-409d-9fad-6a23673cae82
35,"Tagesschau vom 30.09.2018, 19:30",https://www.srf.ch/play/tv/-/video/-?id=990a2071-6a31-4224-ad01-dd5873996766
36,Eindrückliche Bilder in der «Höll» kurz vor dem Ziel,https://www.srf.ch/play/tv/-/video/-?id=f624150b-9958-4f26-9b5b-b5e8758be526
37,Die Zahl der Opfer steigt,https://www.srf.ch/play/tv/-/video/-?id=130c18f5-e2f1-45b4-a09d-96af077cc723
38,Sion ist dank einem Sieg in Luzern nicht mehr das Schlusslicht,https://www.srf.ch/play/tv/-/video/-?id=8e9cd1b8-77e7-40b6-8201-db5806d35f61
39,Meteo am Mittag vom 01.10.2018,https://www.srf.ch/play/tv/-/video/-?id=b7e5864b-717b-4331-af33-17b5b3cdd66e
40,Tagesschau Mittag vom 01.10.2018,https://www.srf.ch/play/tv/-/video/-?id=54a91a58-0a36-43ad-b5dc-15eb4afd6990
41,Lena - Liebe meines Lebens vom 01.10.2018,https://www.srf.ch/play/tv/-/video/-?id=9c9d32ea-a2e8-40b6-a9f2-6715d5dc624b
42,Drohnen am Frankfurter Nachthimmel,https://www.srf.ch/play/tv/-/video/-?id=2ddd8555-f498-4ae0-946b-ad67ea2d2a9d
43,Wieso muss der Mensch Wasser trinken?,https://www.srf.ch/play/tv/-/video/-?id=ce290da6-b019-4211-ae0f-35b8254a137c
44,Sanogo: «Wir sind nicht nervös»,https://www.srf.ch/play/tv/-/video/-?id=c98e6a23-6f7e-4067-b3f5-26296f984078
45,Fassnacht: «Wir müssen realistisch bleiben.»,https://www.srf.ch/play/tv/-/video/-?id=f7479c48-cdff-42eb-85fa-f1896ea74625
46,Babylon Berlin (Folge 1/16),https://www.srf.ch/play/tv/-/video/-?id=691802a1-3db3-4f56-acc3-0a5b0df1b4b4
47,Die höchste Dreiseilbahn der Welt ist eröffnet,https://www.srf.ch/play/tv/-/video/-?id=6fe51a4d-aea7-4750-8826-7fd9ec8f490a
48,Die Zahl der Opfer steigt,https://www.srf.ch/play/tv/-/video/-?id=130c18f5-e2f1-45b4-a09d-96af077cc723
49,Tagesschau Mittag vom 01.10.2018,https://www.srf.ch/play/tv/-/video/-?id=54a91a58-0a36-43ad-b5dc-15eb4afd6990
50,Sanogo: «Wir sind nicht nervös»,https://www.srf.ch/play/tv/-/video/-?id=c98e6a23-6f7e-4067-b3f5-26296f984078
51,Fassnacht: «Wir müssen realistisch bleiben.»,https://www.srf.ch/play/tv/-/video/-?id=f7479c48-cdff-42eb-85fa-f1896ea74625
52,Donald Trump macht eine Liebeserklärung,https://www.srf.ch/play/tv/-/video/-?id=001013c7-9f27-409d-9fad-6a23673cae82
53,Das Traumschiff - Botswana,http://www.srf.ch/programm/tv/sendung/e5df360e-c5ed-4b46-bd77-6be8ce7b1b61
54,Guetnachtgschichtli,http://www.srf.ch/programm/tv/sendung/7af42811-2eec-43e2-abc1-ee3cdd684651
