Beschreibung,Datum,File,Kontakt,Ort,Sonstiges,TITLE,URL,Veranstalter,New_Date,Year,Month,Day
,Fr 03.11.2006 16:30,138.html,,Kleiner Konferenzraum Bern,,Medienkonferenz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-138.html,RK/CAJ-N,2006-11-03,2006,11,3
,Mo 06.11.2006 10:15,140.html,,Hotel Bern Bern,,Kongressvorschau,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-140.html,SGB/USS,2006-11-06,2006,11,6
,Di 07.11.2006 09:15,141.html,,Konferenzsaal Bern,,Medienkonferenz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-141.html,SP-Fraktion,2006-11-07,2006,11,7
Medienkonferenz des Bundesrats nach der wöchentlichen Sitzung,Mi 29.11.2006,150.html,,Medienzentrum Bundeshaus Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-150.html,Bundeskanzlei,2006-11-29,2006,11,29
Test Veranstaltung Beschreibung,Mi 20.12.2006 10:00 - 13:00,157.html,Kontakt bitte an,Jahnstrasse 7844 Bern,"Attachments findemich (PDF, 27 kB) test 2 inhaltsbereich (PDF, 27 kB) Links test Laut.de Presse",Test Veranstaltung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-157.html,Bundeskanzlei,2006-12-20,2006,12,20
,Mi 31.01.2007,177.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-177.html,Bundeskanzlei,2007-01-31,2007,1,31
Medienkonferenz,Do 01.02.2007 09:30 - 10:30,178.html,"P. Cavadini, Pressesprecher SGB, Tel. 031 377 01 07",Hotel Bern 3011 Bern,,Jugendarbeitnehmerschutz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-178.html,Schweiz. Gewerkschaftsbund SGB,2007-02-01,2007,2,1
"Medienkonferenz mit Richard Manning, Direktor OECD/DAC",Do 29.03.2007 11:00 - 12:00,188.html,"Suzan Gürler, DEZA, 031 322 31 09",Medienzentrum 3003 Bern,,Globalisierung und die Rolle der öffentlichen Entwicklungszusammenarbeit,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-188.html,OECD/DEZA/SECO,2007-03-29,2007,3,29
Medienkonferenz,Do 01.02.2007 15:45,189.html,"Roman S. Jäggi, Pressesprecher, SVP",Medienzentrum 3003 Bern,,Das neue SVP-Kulturpapier,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-189.html,SVP Schweiz,2007-02-01,2007,2,1
Medienkonferenz,Mo 05.03.2007 10:15,190.html,"Nicole El-Aghar, Pro Natura, 061 317 92 45",Hotel Bern 3011 Bern,,Kampagne Fliessgewässer,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-190.html,Pro Natura,2007-03-05,2007,3,5
Medienkonferenz,Mo 05.02.2007 10:30,193.html,"Jean-Yves Gentil, porte-parole PSS, 031 329 69 86",Medienzentrum 3003 Bern,,Ja zur Einheitskrankenkasse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-193.html,SP Schweiz,2007-02-05,2007,2,5
,Di 06.02.2007 10:30,194.html,"E. Minder, SGV",Rest. Schmiedstube 3011 Bern,,Jahresmedienkonferenz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-194.html,Schweizerischer Gewerbeverband sgv,2007-02-06,2007,2,6
Medienkonferenz mit Bundesrätin Leuthard,Mo 12.02.2007 10:00,195.html,"Kommunikation EVD, 031 322 20 07",Bernerhof 3003 Bern,,Präsentation KMU-Handbuch,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-195.html,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung WBF",2007-02-12,2007,2,12
Jahresmedienkonferenz,Di 13.02.2007 10:00,198.html,"Walter Pavel, Leiter Information Oberzolldirektion, Tel. 031 322 65 13 Michaela Rickenbacher, Kommando GWK, Oberzolldirektion, Tel. 031 325 61 07",Medienzentrum 3003 Bern,"Attachments Einladung an die Medien (PDF, 24 kB)",Der Schweizer Zoll im Jahr 2006 - für mehr Sicherheit,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-198.html,Eidgenössische Zollverwaltung,2007-02-13,2007,2,13
Medienkonferenz des Bundesrates,Mi 14.02.2007,199.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-199.html,Bundeskanzlei,2007-02-14,2007,2,14
Medienkonferenz mit Bundesrat Schmid,Do 15.02.2007 10:00,205.html,"Kommunikation VBS, 031 324 85 12",Medienzentrum 3003 Bern,,Stand der Dinge EURO 08,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-205.html,VBS/BASPO,2007-02-15,2007,2,15
,Fr 16.02.2007 09:30,218.html,"Patrick Ducrey, WEKO, 031 324 96 78",Medienzentrum 3003 Bern,,Jahresmedienkonferenz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-218.html,Wettbewerbskommission,2007-02-16,2007,2,16
Medienkonferenz mit CVP-Parteipräsident Christophe Darbellay und Bundesratssprecher Oswald Sigg,Fr 16.02.2007 13:30,219.html,"Hansruedi Moser, Infochef BK, 031 322 37 63",Medienzentrum 3003 Bern,Links Medienmitteilung vom 31.02.2007,Von-Wattenwyl-Gespräche,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-219.html,Bundeskanzlei,2007-02-16,2007,2,16
,Di 20.02.2007 10:15,220.html,"Colette Schneider, 041 870 97 81",Hotel Kreuz 3011 Bern,,Bilanzmedienkonferenz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-220.html,Alpen-Initiative,2007-02-20,2007,2,20
Medienkonferenz,Di 20.02.2007 14:00,221.html,,Medienzentrum Bern,,Agrarpolitik 2011,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-221.html,WAK/CER-N,2007-02-20,2007,2,20
Medienkonferenz des Bundesrates,Mi 21.02.2007,223.html,,Medienzentrum Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-223.html,Bundeskanzlei,2007-02-21,2007,2,21
Medienkonferenz,Do 22.02.2007 10:00,224.html,"Barbara Weil, Geschäftsleiterin IPSILON, Tel. 031 359 11 08",Hotel Kreuz 3011 Bern,"Attachments Einladung an die Medien (PDF, 29 kB)",Kann Suizid ansteckend sein?,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-224.html,Dachverband IPSILON,2007-02-22,2007,2,22
,Do 22.02.2007 11:00,225.html,"EKA/CFE, Mme Bechon, Tel. 031 325 91 21",Medienzentrum 3003 Bern,,Jahresmedienkonferenz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-225.html,Eidgenössische Migrationskommission,2007-02-22,2007,2,22
Medienkonferenz,Do 22.02.2007 14:00,226.html,"Rudolf Menzi, Leiter Information ARE, Tel. 031 322 40 55",Medienzentrum 3003 Bern,,Raumentwicklung in der Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-226.html,ARE/ETH,2007-02-22,2007,2,22
,Fr 23.02.2007 10:00,227.html,"Rudolf Lanz, Leiter Information Preisüberwachung, Tel. 031 322 21 05",Medienzentrum 3003 Bern,,Jahresmedienkonferenz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-227.html,Preisüberwachung,2007-02-23,2007,2,23
Medienkonferenz des Bundesrates,Mi 28.02.2007,230.html,,Medienzentrum Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-230.html,Bundeskanzlei,2007-02-28,2007,2,28
Frühjahrssession vom 5. - 23. März 2007,Mo 05.03.2007 14:30,231.html,,Parlamentsgebäude 3003 Bern,Links Die Session,Beginn der Frühjahrssession,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-231.html,BVers/AF,2007-03-05,2007,3,5
Medienkonferenz des Bundesrates,Fr 09.03.2007,232.html,,Medienzentrum Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-232.html,Bundeskanzlei,2007-03-09,2007,3,9
Medienkonferenz des Bundesrates,So 11.03.2007,233.html,,Medienzentrum 3003 Bern,,Eidg. Volksabstimmung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-233.html,Bundeskanzlei,2007-03-11,2007,3,11
Medienkonferenz des Bundesrates,Fr 16.03.2007,234.html,,Medienzentrum Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-234.html,Bundeskanzlei,2007-03-16,2007,3,16
Medienkonferenz,So 31.12.2006 10:00 - 11:00 Abgesagt,235.html,Herr Güntert Tel. 031 972 18 61 Mobile 079 574 24 10,Medienzentrum 3003 Bern,,Nationaler Forschungsschwerpunkt Nord-Süd,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-235.html,"CDE - Zentrum für Entwicklung und Umwelt, Uni Bern",2006-12-31,2006,12,31
Medienkonferenz,Di 27.03.2007 09:30,236.html,"Frau Oehrli, EBK, Tel. 031 323 08 94",Medienzentrum 3003 Bern,,Jahresbericht 2006,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-236.html,Eidgenössische Bankenkommission,2007-03-27,2007,3,27
Medienkonferenz des Bundesrates,Mi 28.03.2007,238.html,,Medienzentrum Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-238.html,Bundeskanzlei,2007-03-28,2007,3,28
Medienkonferenz,Mi 07.02.2007 10:00,241.html,"Sascha Hilpert, Perspektive Schweiz, 079 283 84 57",Hotel Kreuz 3011 Bern,,"Studie ""Perspektive Schweiz""",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-241.html,Perspektive Schweiz,2007-02-07,2007,2,7
,Do 19.04.2007 09:30 - 11:00,242.html,"Sabine Schwarzenbach, Pro Helvetia, Tel. 044 267 71 39",Kornhausforum 3011 Bern,,Jahresmedienkonferenz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-242.html,Pro Helvetia,2007-04-19,2007,4,19
Medienkonferenz,Mo 12.03.2007 10:30,243.html,"Harald Sohns, Kommunikation BSV, Tel. 031 322 91 11",Medienzentrum 3003 Bern,,Aktuelle Zahlen Invalidenversicherung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-243.html,Bundesamt für Sozialversicherungen,2007-03-12,2007,3,12
Medienkonferenz,Di 20.02.2007 12:30,244.html,,Medienzentrum 3003 Bern,,Armeereform,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-244.html,SiK/CPS-S,2007-02-20,2007,2,20
Medienkonferenz des Bundesrates,Mi 04.04.2007,245.html,,Medienzentrum Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-245.html,Bundeskanzlei,2007-04-04,2007,4,4
Medienkonferenz,Mi 07.02.2007 13:30,246.html,"Roman Jäggi, Pressesprecher SVP",Medienzentrum 3003 Bern,,Gesundheitspolitik,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-246.html,SVP Schweiz,2007-02-07,2007,2,7
Medienkonferenz,Di 15.05.2007 11:00 - 12:00,247.html,"Silvia Kubli, Chef communication, OFS, tél. 032 713 61 29 Reto Hügli, stv. Leiter Information ARE, Tel. 031 324 25 97",Medienzentrum Bern,"Attachments Einladung an die Medien (PDF, 300 kB)",Mikrozensus Verkehrsverhalten,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-247.html,Bundesamt für Statistik (BFS) / Bundesamt für Raumentwicklung (ARE),2007-05-15,2007,5,15
"Hintergrundgespräch mit: Urs Ursprung, Direktor Eidg. Steuerverwaltung Claudio Fischer, Projektleiter MWST-Reform Beat Spicher, stv. Projektleiter MWST-Reform",Di 13.02.2007 13:30 - 15:00,248.html,"Dieter Leutwyler, Pressesprecher EFD, Tel. 031 322 60 33",Bernerhof 3003 Bern,,MWST-Reform,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-248.html,Eidgenössisches Finanzdepartement,2007-02-13,2007,2,13
Medienkonferenz,Mo 19.02.2007 10:30,254.html,NR Ulrich Schlüer,Hotel Kreuz 3011 Bern,,Sicherheit für alle,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-254.html,Sifa,2007-02-19,2007,2,19
Medienkonferenz mit Bundesrat Blocher,Fr 02.02.2007 10:30 - 12:00,256.html,"Sascha Hardegger, Presseprecher EJPD, Tel. 031 322 40 40",Medienzentrum 3003 Bern,,Wie weiter in der Asylpolitik?,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-256.html,Eidgenössisches Justiz- und Polizeidepartement EJPD,2007-02-02,2007,2,2
"Der Postmarkt in Schweden ist seit mehr als einem Jahrzehnt vollständig liberalisiert - und bietet der Bevölkerung weiterhin qualitativ hochstehenden Service, auch in den Randregionen. An der SECO-Reformtagung «ReformWorks» vom 19. und 20. Februar 2007 im Kursaal in Bern diskutieren internationale Experten aus Wissenschaft und Politik über Erfahrungen bei ausgewählten Reformen in europäischen Ländern.",Di 20.02.2007 09:00 - 13:00,258.html,,Bern,,ReformWorks: Welche Regelungen führen Reformen zum Erfolg?,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-258.html,Staatssekretariat für Wirtschaft,2007-02-20,2007,2,20
Forschende der Ökonomie präsentieren Fallstudien zu wirtschaftspolitischen Reformen in acht Sektoren in Europa. Fachtagung in Englisch (ohne Übersetzung),Mo 19.02.2007 12:00 - 18:00,260.html,Staatssekretariat für Wirtschaft SECO Direktion für Wirtschaftspolitik Tel. 031 322 42 27,Kursaal 3011 Bern,,ReformWorks,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-260.html,Staatssekretariat für Wirtschaft,2007-02-19,2007,2,19
Medienkonferenz,Di 27.02.2007 10:00 - 11:00,262.html,"Gabriela Bader, Grüne/Les Verts, Tel 031 312 66 72","Progr, Zentrum für Kulturproduktion, Speichergasse 4 3011 Bern",,Kulturpolitik,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-262.html,Grüne Partei der Schweiz,2007-02-27,2007,2,27
Medienkonferenz,Mo 19.02.2007 13:30 - 14:30,263.html,"Jean-Yves Gentil, porte-parole PSS, Tel. 031 329 69 86",Medienzentrum 3003 Bern,,Positionspapier Kulturpolitik,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-263.html,SP Schweiz,2007-02-19,2007,2,19
Medienkonferenz,Fr 01.06.2007 10:00 - 11:00,264.html,"Adrian Aeschlimann, Leiter Mediendienst BAFU, Tel. 031 325 07 50 Silvia Kubli, Kommunikationschefin BFS, Tel. 032 713 61 29",Medienzentrum Bern,,Umweltbericht der Schweiz 2007,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-264.html,Bundesamt für Umwelt (BAFU) / Bundesamt für Statistik (BFS),2007-06-01,2007,6,1
Medienkonferenz Publikation Jahresbericht Meldestelle für Geldwäscherei,Di 17.04.2007 10:00 - 11:00,265.html,"Danièle Bersier, Chefin Mediendienst fedpol, Tel. 031 323 13 10",Medienzentrum 3003 Bern,,Jahresbericht,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-265.html,Bundesamt für Polizei,2007-04-17,2007,4,17
Medienkonferenz,Di 24.04.2007 10:00 - 11:00,266.html,"Herr Treier, Tel. 056 310 38 70",Medienzentrum 3003 Bern,,Aufsichtsbericht Nukleare Sicherheit,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-266.html,Hauptabteilung für die Sicherheit der Kernanlagen (HSK),2007-04-24,2007,4,24
Medienkonferenz des Bundesrates,Mi 16.05.2007,270.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-270.html,Bundeskanzlei,2007-05-16,2007,5,16
Medienkonferenz des Bundesrates,Mi 23.05.2007,271.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-271.html,Bundeskanzlei,2007-05-23,2007,5,23
Medienkonferenz,Fr 25.05.2007,272.html,"Hansruedi Moser, Leiter Information und Kommunikation BK, Tel. 031 322 37 63",Medienzentrum 3003 Bern,,Von-Wattenwyl-Gespräche,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-272.html,Bundeskanzlei,2007-05-25,2007,5,25
Medienkonferenz des Bundesrates,Mi 30.05.2007,273.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-273.html,Bundeskanzlei,2007-05-30,2007,5,30
Sommersession der Eidg. Räte (bis 22. Juni 2007),Mo 04.06.2007 14:30,275.html,,Parlamentsgebäude 3003 Bern,,Beginn der Session,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-275.html,BVers/AF,2007-06-04,2007,6,4
Medienkonferenz des Bundesrates,Fr 08.06.2007,276.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-276.html,Bundeskanzlei,2007-06-08,2007,6,8
Medienkonferenz,Do 14.06.2007 10:15 - 13:00,277.html,"Christian Antener, Leiter Kommunikation METAS, Tel. 031 323 34 89","METAS, Lindenweg 50 3084 Bern-Wabern",Links Programm,40 Jahre Standort Wabern,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-277.html,Eidgenössisches Institut für Metrologie,2007-06-14,2007,6,14
Medienkonferenz des Bundesrates,Fr 15.06.2007,278.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-278.html,Bundeskanzlei,2007-06-15,2007,6,15
Medienkonferenz,Mo 02.07.2007 10:00 - 11:30,279.html,"EDÖB, Tel. 031 322 43 95",Medienzentrum 3003 Bern,,14. Tätigkeitsbericht,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-279.html,Eidgenössischer Datenschutz- und Öffentlichkeitsbeauftragter,2007-07-02,2007,7,2
Medienkonferenz des Bundesrates,Mi 04.07.2007,280.html,,Medienzentrum 3003 Bern,,Letzte Bundesratssitzung vor der Sommerpause,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-280.html,Bundeskanzlei,2007-07-04,2007,7,4
Medienkonferenz des Bundesrates,Mi 18.04.2007,281.html,,Medienzentrum Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-281.html,Bundeskanzlei,2007-04-18,2007,4,18
Medienkonferenz des Bundesrates,Mi 02.05.2007,282.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-282.html,Bundeskanzlei,2007-05-02,2007,5,2
Medienkonferenz des Bundesrates,Mi 27.06.2007,283.html,,Medienzentrum 3003 Bern,,Bundesratssitzung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-283.html,Bundeskanzlei,2007-06-27,2007,6,27
10.00 Uhr Mediengespräch im PROGR Zentrum für Kulturproduktion 11.15 Uhr Kinderevent auf dem Bundesplatz,Mo 26.03.2007 10:00 - 12:30,285.html,"Thomas Graf, tom+kom, Zürich-Thalwil, Tel. 043 443 56 30 thomas.graf@tomundkom.ch","PROGR Zentrum für Kulturproduktion, Waisenhausplatz 30 / Bundesplatz 3011 Bern",,10 Jahre UN-Kinderrechts-Konvention in der Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-285.html,Netzwerk Kinderrechte Schweiz,2007-03-26,2007,3,26
Medienkonferenz,Fr 23.02.2007 13:30,292.html,"Claudine Godat, Mediensprecherin SP, 031 329 69 82",Medienzentrum Bern,,Energiepolitik ist Klimapolitik,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-292.html,SP Schweiz,2007-02-23,2007,2,23
Medienkonferenz,Mo 05.03.2007 09:00 - 10:00,293.html,"Andreas Tschöpe, Stiftung für Konsumentenschutz, Tel. 031 370 24 26",Hotel Bern 3011 Bern,,Cassis-de-Dijon-Prinzip: Bericht aus Deutschland,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-293.html,Stiftung für Konsumentenschutz,2007-03-05,2007,3,5
Medienkonferenz,Do 15.03.2007 10:00 - 11:30,294.html,"Büro für Konsumentenfragen BFK, Tel. 031 322 20 21 Bureau fédéral de la consommation, tél. 031 322 20 21",Medienzentrum 3003 Bern,,Welttag der Konsumentenrechte,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-294.html,Eidgenössisches Büro für Konsumentenfragen,2007-03-15,2007,3,15
Medienkoferenz,Di 27.02.2007 13:30 - 14:30,295.html,"SVP Generalsekretariat, 031 300 58 52",Medienzentrum 3003 Bern,,EU-Befürworter tragen die Verantwortung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-295.html,SVP-Fraktion,2007-02-27,2007,2,27
,So 31.12.2006 00:00 Abgesagt,296.html,,Polit-Forum Käfigturm xxx,,xxx,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-296.html,xxx,2006-12-31,2006,12,31
Point de presse Positionen der CVP Fraktion zur Energiepolitik,Sa 24.02.2007 10:15,297.html,"Alexandra Perina-Werz, CVP Schweiz, Mobile 078 659 29 89",Bernerhof 3003 Bern,"Attachments Einladung an die Medien (PDF, 527 kB)",Massnahmen zur Energieeffizienz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-297.html,CVP Fraktion,2007-02-24,2007,2,24
"Themen: - 5. Revision der Invalidenverischerung - Parolenfassung - Klimapolitik und Energieeffizienz: Umsetzung des Wahlvertrages 2007 - Offensive zur Jugendförderung, zum Jugendschutz und gegen die Jugendgewalt",Sa 03.03.2007 10:00,298.html,"Alexandra Perina-Werz, CVP Schweiz, Mobile 078 659 29 89",Kongresshaus Zürich,,Delegiertenversammlung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-298.html,CVP Schweiz,2007-03-03,2007,3,3
"Medienkonferenz mit: Bundesrat Hans-Rudolf Merz Urs Ursprung, Direktor Eidg. Steuerverwaltung Claudio Fischer, Projektleiter MWST",Do 15.02.2007 11:30,300.html,,Medienzentrum 3003 Bern,,Vereinfachung der Mehrwertsteuer,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-300.html,Bundeskanzlei,2007-02-15,2007,2,15
Medienkonferenz (nur wenn fertig beraten),Fr 23.02.2007,301.html,,Medienzentrum 3003 Bern,,Strafprozessrecht,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-301.html,RK/CAJ-N,2007-02-23,2007,2,23
Frau Nationalratspräsidentin Egerszegi informiert nach der Sitzung des Büros des Nationalrates über diverse Schwerpunkte,Fr 16.02.2007 17:15,302.html,,Medienzentrum Bern,,Point de presse,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-302.html,Büro-N,2007-02-16,2007,2,16
Generalversammlung und Wahl-Kick-Off,Sa 03.03.2007 11:00,303.html,"Barbara Perriard, Generalsekretärin FDP Frauen Schweiz, Tel. 031 320 35 35",Grand Café du Casino Lausanne,,Oû sont les femmes?,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-303.html,FDP Frauen Schweiz,2007-03-03,2007,3,3
