 0,Title,Address,Date,Description,Contact,Organisator,URL,New_Date,Year,Month,Day
189,Das neue SVP-Kulturpapier,Medienzentrum 3003 Bern,Do 01.02.2007 15:45,Medienkonferenz,"Roman S. Jäggi, Pressesprecher, SVP",SVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-189.html,2007-02-01,2007,2,1
190,Kampagne Fliessgewässer,Hotel Bern 3011 Bern,Mo 05.03.2007 10:15,Medienkonferenz,"Nicole El-Aghar, Pro Natura, 061 317 92 45",Pro Natura,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-190.html,2007-03-05,2007,3,5
193,Ja zur Einheitskrankenkasse,Medienzentrum 3003 Bern,Mo 05.02.2007 10:30,Medienkonferenz,"Jean-Yves Gentil, porte-parole PSS, 031 329 69 86",SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-193.html,2007-02-05,2007,2,5
194,Jahresmedienkonferenz,Rest. Schmiedstube 3011 Bern,Di 06.02.2007 10:30,Keine Beschreibung,"E. Minder, SGV",Schweizerischer Gewerbeverband sgv,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-194.html,2007-02-06,2007,2,6
195,Präsentation KMU-Handbuch,Bernerhof 3003 Bern,Mo 12.02.2007 10:00,Medienkonferenz mit Bundesrätin Leuthard,"Kommunikation EVD, 031 322 20 07","Eidgenössisches Departement für Wirtschaft, Bildung und Forschung WBF",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-195.html,2007-02-12,2007,2,12
198,Der Schweizer Zoll im Jahr 2006 - für mehr Sicherheit,Medienzentrum 3003 Bern,Di 13.02.2007 10:00,Jahresmedienkonferenz,"Walter Pavel, Leiter Information Oberzolldirektion, Tel. 031 322 65 13; Michaela Rickenbacher, Kommando GWK, Oberzolldirektion, Tel. 031 325 61 07",Eidgenössische Zollverwaltung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-198.html,2007-02-13,2007,2,13
199,Bundesratssitzung,Medienzentrum 3003 Bern,Mi 14.02.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-199.html,2007-02-14,2007,2,14
205,Stand der Dinge EURO 08,Medienzentrum 3003 Bern,Do 15.02.2007 10:00,Medienkonferenz mit Bundesrat Schmid,"Kommunikation VBS, 031 324 85 12",VBS/BASPO,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-205.html,2007-02-15,2007,2,15
218,Jahresmedienkonferenz,Medienzentrum 3003 Bern,Fr 16.02.2007 09:30,Keine Beschreibung,"Patrick Ducrey, WEKO, 031 324 96 78",Wettbewerbskommission,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-218.html,2007-02-16,2007,2,16
219,Von-Wattenwyl-Gespräche,Medienzentrum 3003 Bern,Fr 16.02.2007 13:30,Medienkonferenz mit CVP-Parteipräsident Christophe Darbellay und Bundesratssprecher Oswald Sigg,"Hansruedi Moser, Infochef BK, 031 322 37 63",Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-219.html,2007-02-16,2007,2,16
220,Bilanzmedienkonferenz,Hotel Kreuz 3011 Bern,Di 20.02.2007 10:15,Keine Beschreibung,"Colette Schneider, 041 870 97 81",Alpen-Initiative,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-220.html,2007-02-20,2007,2,20
221,Agrarpolitik 2011,Medienzentrum Bern,Di 20.02.2007 14:00,Medienkonferenz,Kein Kontakt,WAK/CER-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-221.html,2007-02-20,2007,2,20
223,Bundesratssitzung,Medienzentrum Bern,Mi 21.02.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-223.html,2007-02-21,2007,2,21
224,Kann Suizid ansteckend sein?,Hotel Kreuz 3011 Bern,Do 22.02.2007 10:00,Medienkonferenz,"Barbara Weil, Geschäftsleiterin IPSILON, Tel. 031 359 11 08",Dachverband IPSILON,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-224.html,2007-02-22,2007,2,22
225,Jahresmedienkonferenz,Medienzentrum 3003 Bern,Do 22.02.2007 11:00,Keine Beschreibung,"EKA/CFE, Mme Bechon, Tel. 031 325 91 21",Eidgenössische Migrationskommission,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-225.html,2007-02-22,2007,2,22
226,Raumentwicklung in der Schweiz,Medienzentrum 3003 Bern,Do 22.02.2007 14:00,Medienkonferenz,"Rudolf Menzi, Leiter Information ARE, Tel. 031 322 40 55",ARE/ETH,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-226.html,2007-02-22,2007,2,22
227,Jahresmedienkonferenz,Medienzentrum 3003 Bern,Fr 23.02.2007 10:00,Keine Beschreibung,"Rudolf Lanz, Leiter Information Preisüberwachung, Tel. 031 322 21 05",Preisüberwachung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-227.html,2007-02-23,2007,2,23
230,Bundesratssitzung,Medienzentrum Bern,Mi 28.02.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-230.html,2007-02-28,2007,2,28
231,Beginn der Frühjahrssession,Parlamentsgebäude 3003 Bern,Mo 05.03.2007 14:30,Frühjahrssession vom 5. - 23. März 2007,Kein Kontakt,BVers/AF,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-231.html,2007-03-05,2007,3,5
232,Bundesratssitzung,Medienzentrum Bern,Fr 09.03.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-232.html,2007-03-09,2007,3,9
233,Eidg. Volksabstimmung,Medienzentrum 3003 Bern,So 11.03.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-233.html,2007-03-11,2007,3,11
234,Bundesratssitzung,Medienzentrum Bern,Fr 16.03.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-234.html,2007-03-16,2007,3,16
235,Nationaler Forschungsschwerpunkt Nord-Süd,Medienzentrum 3003 Bern,So 31.12.2006 10:00 - 11:00 Abgesagt,Medienkonferenz,Herr Güntert; Tel. 031 972 18 61; Mobile 079 574 24 10,"CDE - Zentrum für Entwicklung und Umwelt, Uni Bern",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-235.html,2006-12-31,2006,12,31
236,Jahresbericht 2006,Medienzentrum 3003 Bern,Di 27.03.2007 09:30,Medienkonferenz,"Frau Oehrli, EBK, Tel. 031 323 08 94",Eidgenössische Bankenkommission,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-236.html,2007-03-27,2007,3,27
238,Bundesratssitzung,Medienzentrum Bern,Mi 28.03.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-238.html,2007-03-28,2007,3,28
241,"Studie ""Perspektive Schweiz""",Hotel Kreuz 3011 Bern,Mi 07.02.2007 10:00,Medienkonferenz,"Sascha Hilpert, Perspektive Schweiz, 079 283 84 57",Perspektive Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-241.html,2007-02-07,2007,2,7
242,Jahresmedienkonferenz,Kornhausforum 3011 Bern,Do 19.04.2007 09:30 - 11:00,Keine Beschreibung,"Sabine Schwarzenbach, Pro Helvetia, Tel. 044 267 71 39",Pro Helvetia,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-242.html,2007-04-19,2007,4,19
243,Aktuelle Zahlen Invalidenversicherung,Medienzentrum 3003 Bern,Mo 12.03.2007 10:30,Medienkonferenz,"Harald Sohns, Kommunikation BSV, Tel. 031 322 91 11",Bundesamt für Sozialversicherungen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-243.html,2007-03-12,2007,3,12
244,Armeereform,Medienzentrum 3003 Bern,Di 20.02.2007 12:30,Medienkonferenz,Kein Kontakt,SiK/CPS-S,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-244.html,2007-02-20,2007,2,20
245,Bundesratssitzung,Medienzentrum Bern,Mi 04.04.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-245.html,2007-04-04,2007,4,4
246,Gesundheitspolitik,Medienzentrum 3003 Bern,Mi 07.02.2007 13:30,Medienkonferenz,"Roman Jäggi, Pressesprecher SVP",SVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-246.html,2007-02-07,2007,2,7
247,Mikrozensus Verkehrsverhalten,Medienzentrum Bern,Di 15.05.2007 11:00 - 12:00,Medienkonferenz,"Silvia Kubli, Chef communication, OFS, tél. 032 713 61 29; Reto Hügli, stv. Leiter Information ARE, Tel. 031 324 25 97",Bundesamt für Statistik (BFS) / Bundesamt für Raumentwicklung (ARE),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-247.html,2007-05-15,2007,5,15
248,MWST-Reform,Bernerhof 3003 Bern,Di 13.02.2007 13:30 - 15:00,"Hintergrundgespräch mit: Urs Ursprung, Direktor Eidg. Steuerverwaltung; Claudio Fischer, Projektleiter MWST-Reform; Beat Spicher, stv. Projektleiter MWST-Reform","Dieter Leutwyler, Pressesprecher EFD, Tel. 031 322 60 33",Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-248.html,2007-02-13,2007,2,13
254,Sicherheit für alle,Hotel Kreuz 3011 Bern,Mo 19.02.2007 10:30,Medienkonferenz,NR Ulrich Schlüer,Sifa,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-254.html,2007-02-19,2007,2,19
256,Wie weiter in der Asylpolitik?,Medienzentrum 3003 Bern,Fr 02.02.2007 10:30 - 12:00,Medienkonferenz mit Bundesrat Blocher,"Sascha Hardegger, Presseprecher EJPD, Tel. 031 322 40 40",Eidgenössisches Justiz- und Polizeidepartement EJPD,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-256.html,2007-02-02,2007,2,2
258,ReformWorks: Welche Regelungen führen Reformen zum Erfolg?,Bern,Di 20.02.2007 09:00 - 13:00,"Der Postmarkt in Schweden ist seit mehr als einem Jahrzehnt vollständig liberalisiert - und bietet der Bevölkerung weiterhin qualitativ hochstehenden Service, auch in den Randregionen. An der SECO-Reformtagung «ReformWorks» vom 19. und 20. Februar 2007 im Kursaal in Bern diskutieren internationale Experten aus Wissenschaft und Politik über Erfahrungen bei ausgewählten Reformen in europäischen Ländern.",Kein Kontakt,Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-258.html,2007-02-20,2007,2,20
260,ReformWorks,Kursaal 3011 Bern,Mo 19.02.2007 12:00 - 18:00,Forschende der Ökonomie präsentieren Fallstudien zu wirtschaftspolitischen Reformen in acht Sektoren in Europa. Fachtagung in Englisch (ohne Übersetzung),Staatssekretariat für Wirtschaft SECO; Direktion für Wirtschaftspolitik; Tel. 031 322 42 27,Staatssekretariat für Wirtschaft,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-260.html,2007-02-19,2007,2,19
262,Kulturpolitik,"Progr, Zentrum für Kulturproduktion, Speichergasse 4 3011 Bern",Di 27.02.2007 10:00 - 11:00,Medienkonferenz,"Gabriela Bader, Grüne/Les Verts, Tel 031 312 66 72",Grüne Partei der Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-262.html,2007-02-27,2007,2,27
263,Positionspapier Kulturpolitik,Medienzentrum 3003 Bern,Mo 19.02.2007 13:30 - 14:30,Medienkonferenz,"Jean-Yves Gentil, porte-parole PSS, Tel. 031 329 69 86",SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-263.html,2007-02-19,2007,2,19
264,Umweltbericht der Schweiz 2007,Medienzentrum Bern,Fr 01.06.2007 10:00 - 11:00,Medienkonferenz,"Adrian Aeschlimann, Leiter Mediendienst BAFU, Tel. 031 325 07 50; Silvia Kubli, Kommunikationschefin BFS, Tel. 032 713 61 29",Bundesamt für Umwelt (BAFU) / Bundesamt für Statistik (BFS),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-264.html,2007-06-01,2007,6,1
265,Jahresbericht,Medienzentrum 3003 Bern,Di 17.04.2007 10:00 - 11:00,Medienkonferenz; Publikation Jahresbericht Meldestelle für Geldwäscherei,"Danièle Bersier, Chefin Mediendienst fedpol, Tel. 031 323 13 10",Bundesamt für Polizei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-265.html,2007-04-17,2007,4,17
266,Aufsichtsbericht Nukleare Sicherheit,Medienzentrum 3003 Bern,Di 24.04.2007 10:00 - 11:00,Medienkonferenz,"Herr Treier, Tel. 056 310 38 70",Hauptabteilung für die Sicherheit der Kernanlagen (HSK),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-266.html,2007-04-24,2007,4,24
270,Bundesratssitzung,Medienzentrum 3003 Bern,Mi 16.05.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-270.html,2007-05-16,2007,5,16
271,Bundesratssitzung,Medienzentrum 3003 Bern,Mi 23.05.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-271.html,2007-05-23,2007,5,23
272,Von-Wattenwyl-Gespräche,Medienzentrum 3003 Bern,Fr 25.05.2007,Medienkonferenz,"Hansruedi Moser, Leiter Information und Kommunikation BK, Tel. 031 322 37 63",Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-272.html,2007-05-25,2007,5,25
273,Bundesratssitzung,Medienzentrum 3003 Bern,Mi 30.05.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-273.html,2007-05-30,2007,5,30
275,Beginn der Session,Parlamentsgebäude 3003 Bern,Mo 04.06.2007 14:30,Sommersession der Eidg. Räte (bis 22. Juni 2007),Kein Kontakt,BVers/AF,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-275.html,2007-06-04,2007,6,4
276,Bundesratssitzung,Medienzentrum 3003 Bern,Fr 08.06.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-276.html,2007-06-08,2007,6,8
277,40 Jahre Standort Wabern,"METAS, Lindenweg 50 3084 Bern-Wabern",Do 14.06.2007 10:15 - 13:00,Medienkonferenz,"Christian Antener, Leiter Kommunikation METAS, Tel. 031 323 34 89",Eidgenössisches Institut für Metrologie,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-277.html,2007-06-14,2007,6,14
278,Bundesratssitzung,Medienzentrum 3003 Bern,Fr 15.06.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-278.html,2007-06-15,2007,6,15
279,14. Tätigkeitsbericht,Medienzentrum 3003 Bern,Mo 02.07.2007 10:00 - 11:30,Medienkonferenz,"EDÖB, Tel. 031 322 43 95",Eidgenössischer Datenschutz- und Öffentlichkeitsbeauftragter,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-279.html,2007-07-02,2007,7,2
280,Letzte Bundesratssitzung vor der Sommerpause,Medienzentrum 3003 Bern,Mi 04.07.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-280.html,2007-07-04,2007,7,4
281,Bundesratssitzung,Medienzentrum Bern,Mi 18.04.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-281.html,2007-04-18,2007,4,18
282,Bundesratssitzung,Medienzentrum 3003 Bern,Mi 02.05.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-282.html,2007-05-02,2007,5,2
283,Bundesratssitzung,Medienzentrum 3003 Bern,Mi 27.06.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-283.html,2007-06-27,2007,6,27
285,10 Jahre UN-Kinderrechts-Konvention in der Schweiz,"PROGR Zentrum für Kulturproduktion, Waisenhausplatz 30; / Bundesplatz 3011 Bern",Mo 26.03.2007 10:00 - 12:30,10.00 Uhr Mediengespräch im PROGR Zentrum für Kulturproduktion; 11.15 Uhr Kinderevent auf dem Bundesplatz,"Thomas Graf, tom+kom, Zürich-Thalwil, Tel. 043 443 56 30; thomas.graf@tomundkom.ch",Netzwerk Kinderrechte Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-285.html,2007-03-26,2007,3,26
292,Energiepolitik ist Klimapolitik,Medienzentrum Bern,Fr 23.02.2007 13:30,Medienkonferenz,"Claudine Godat, Mediensprecherin SP, 031 329 69 82",SP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-292.html,2007-02-23,2007,2,23
293,Cassis-de-Dijon-Prinzip: Bericht aus Deutschland,Hotel Bern 3011 Bern,Mo 05.03.2007 09:00 - 10:00,Medienkonferenz,"Andreas Tschöpe, Stiftung für Konsumentenschutz, Tel. 031 370 24 26",Stiftung für Konsumentenschutz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-293.html,2007-03-05,2007,3,5
294,Welttag der Konsumentenrechte,Medienzentrum 3003 Bern,Do 15.03.2007 10:00 - 11:30,Medienkonferenz,"Büro für Konsumentenfragen BFK, Tel. 031 322 20 21; Bureau fédéral de la consommation, tél. 031 322 20 21",Eidgenössisches Büro für Konsumentenfragen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-294.html,2007-03-15,2007,3,15
295,EU-Befürworter tragen die Verantwortung,Medienzentrum 3003 Bern,Di 27.02.2007 13:30 - 14:30,Medienkoferenz,"SVP Generalsekretariat, 031 300 58 52",SVP-Fraktion,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-295.html,2007-02-27,2007,2,27
296,xxx,Polit-Forum Käfigturm xxx,So 31.12.2006 00:00 Abgesagt,Keine Beschreibung,Kein Kontakt,xxx,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-296.html,2006-12-31,2006,12,31
297,Massnahmen zur Energieeffizienz,Bernerhof 3003 Bern,Sa 24.02.2007 10:15,Point de presse; Positionen der CVP Fraktion zur Energiepolitik,"Alexandra Perina-Werz, CVP Schweiz, Mobile 078 659 29 89",CVP Fraktion,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-297.html,2007-02-24,2007,2,24
298,Delegiertenversammlung,Kongresshaus Zürich,Sa 03.03.2007 10:00,"Themen: - 5. Revision der Invalidenverischerung - Parolenfassung; - Klimapolitik und Energieeffizienz: Umsetzung des Wahlvertrages 2007; - Offensive zur Jugendförderung, zum Jugendschutz und gegen die Jugendgewalt","Alexandra Perina-Werz, CVP Schweiz, Mobile 078 659 29 89",CVP Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-298.html,2007-03-03,2007,3,3
300,Vereinfachung der Mehrwertsteuer,Medienzentrum 3003 Bern,Do 15.02.2007 11:30,"Medienkonferenz mit: Bundesrat Hans-Rudolf Merz; Urs Ursprung, Direktor Eidg. Steuerverwaltung; Claudio Fischer, Projektleiter MWST",Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-300.html,2007-02-15,2007,2,15
301,Strafprozessrecht,Medienzentrum 3003 Bern,Fr 23.02.2007,Medienkonferenz (nur wenn fertig beraten),Kein Kontakt,RK/CAJ-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-301.html,2007-02-23,2007,2,23
302,Point de presse,Medienzentrum Bern,Fr 16.02.2007 17:15,Frau Nationalratspräsidentin Egerszegi informiert nach der Sitzung des Büros des Nationalrates über diverse Schwerpunkte,Kein Kontakt,Büro-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-302.html,2007-02-16,2007,2,16
303,Oû sont les femmes?,Grand Café du Casino Lausanne,Sa 03.03.2007 11:00,Generalversammlung und Wahl-Kick-Off,"Barbara Perriard, Generalsekretärin FDP Frauen Schweiz, Tel. 031 320 35 35",FDP Frauen Schweiz,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-303.html,2007-03-03,2007,3,3
